CMDLINE /opt/apps/intel13/python/2.7.9/bin/python worldline/job_scripts/run_select_ids.py
MEM 9.492188 1500956868.1377
MEM 9.492188 1500956868.1378
MEM 9.492188 1500956868.1379
MEM 9.492188 1500956868.1380
MEM 9.492188 1500956868.1381
MEM 9.492188 1500956868.1382
MEM 9.492188 1500956868.1383
MEM 9.492188 1500956868.1384
MEM 9.492188 1500956868.1385
MEM 9.511719 1500956868.1386
MEM 9.562500 1500956868.1387
MEM 9.601562 1500956868.1388
MEM 9.640625 1500956868.1389
MEM 9.679688 1500956868.1390
MEM 9.714844 1500956868.1391
MEM 9.757812 1500956868.1391
MEM 9.800781 1500956868.1392
MEM 9.828125 1500956868.1393
MEM 9.832031 1500956868.1394
MEM 9.843750 1500956868.1395
MEM 9.886719 1500956868.1396
MEM 9.902344 1500956868.1397
MEM 9.902344 1500956868.1398
MEM 9.902344 1500956868.1399
MEM 9.902344 1500956868.1400
MEM 9.902344 1500956868.1401
MEM 9.902344 1500956868.1401
MEM 9.902344 1500956868.1402
MEM 9.902344 1500956868.1403
MEM 9.902344 1500956868.1404
MEM 9.902344 1500956868.1405
MEM 9.902344 1500956868.1406
MEM 9.902344 1500956868.1407
MEM 9.917969 1500956868.1408
MEM 9.960938 1500956868.1409
MEM 9.957031 1500956868.1410
MEM 9.957031 1500956868.1411
MEM 9.957031 1500956868.1412
MEM 9.957031 1500956868.1413
MEM 9.957031 1500956868.1414
MEM 9.957031 1500956868.1415
MEM 9.957031 1500956868.1416
MEM 9.957031 1500956868.1417
MEM 9.957031 1500956868.1418
MEM 9.957031 1500956868.1418
MEM 9.957031 1500956868.1419
MEM 9.957031 1500956868.1420
MEM 9.957031 1500956868.1421
MEM 9.960938 1500956868.1422
MEM 9.960938 1500956868.1423
MEM 9.960938 1500956868.1424
MEM 9.960938 1500956868.1425
MEM 9.960938 1500956868.1426
MEM 9.960938 1500956868.1427
MEM 9.960938 1500956868.1428
MEM 9.960938 1500956868.1429
MEM 9.960938 1500956868.1430
MEM 9.960938 1500956868.1431
MEM 9.960938 1500956868.1431
MEM 9.960938 1500956868.1432
MEM 9.960938 1500956868.1433
MEM 9.960938 1500956868.1434
MEM 9.960938 1500956868.1435
MEM 9.960938 1500956868.1436
MEM 9.960938 1500956868.1437
MEM 9.960938 1500956868.1438
MEM 9.960938 1500956868.1439
MEM 9.960938 1500956868.1440
MEM 9.960938 1500956868.1441
MEM 9.960938 1500956868.1442
MEM 9.960938 1500956868.1443
MEM 9.960938 1500956868.1443
MEM 9.960938 1500956868.1444
MEM 9.960938 1500956868.1445
MEM 9.960938 1500956868.1446
MEM 9.960938 1500956868.1447
MEM 9.960938 1500956868.1448
MEM 9.968750 1500956868.1449
MEM 9.968750 1500956868.1450
MEM 9.968750 1500956868.1451
MEM 9.968750 1500956868.1452
MEM 9.968750 1500956868.1453
MEM 9.968750 1500956868.1454
MEM 9.968750 1500956868.1455
MEM 9.968750 1500956868.1456
MEM 9.968750 1500956868.1457
MEM 9.968750 1500956868.1458
MEM 9.968750 1500956868.1459
MEM 9.968750 1500956868.1460
MEM 9.968750 1500956868.1461
MEM 9.988281 1500956868.1461
MEM 10.039062 1500956868.1462
MEM 10.078125 1500956868.1463
MEM 10.125000 1500956868.1464
MEM 10.167969 1500956868.1465
MEM 10.214844 1500956868.1466
MEM 10.234375 1500956868.1467
MEM 10.234375 1500956868.1468
MEM 10.234375 1500956868.1469
MEM 10.242188 1500956868.1470
MEM 10.257812 1500956868.1471
MEM 10.257812 1500956868.1472
MEM 10.257812 1500956868.1473
MEM 10.257812 1500956868.1473
MEM 10.007812 1500956868.1474
MEM 10.011719 1500956868.1475
MEM 10.019531 1500956868.1476
MEM 10.023438 1500956868.1477
MEM 10.042969 1500956868.1478
MEM 10.062500 1500956868.1479
MEM 10.062500 1500956868.1480
MEM 10.125000 1500956868.1481
MEM 10.125000 1500956868.1482
MEM 10.125000 1500956868.1483
MEM 10.128906 1500956868.1483
MEM 10.128906 1500956868.1484
MEM 10.128906 1500956868.1485
MEM 10.128906 1500956868.1486
MEM 10.128906 1500956868.1487
MEM 10.128906 1500956868.1488
MEM 10.128906 1500956868.1489
MEM 10.128906 1500956868.1490
MEM 10.128906 1500956868.1491
MEM 10.128906 1500956868.1492
MEM 10.128906 1500956868.1493
MEM 10.132812 1500956868.1494
MEM 10.132812 1500956868.1495
MEM 10.132812 1500956868.1496
MEM 10.132812 1500956868.1496
MEM 10.132812 1500956868.1497
MEM 10.132812 1500956868.1498
MEM 10.132812 1500956868.1499
MEM 10.132812 1500956868.1500
MEM 10.132812 1500956868.1501
MEM 10.132812 1500956868.1502
MEM 10.132812 1500956868.1503
MEM 10.132812 1500956868.1504
MEM 10.132812 1500956868.1505
MEM 10.132812 1500956868.1506
MEM 10.140625 1500956868.1507
MEM 10.191406 1500956868.1508
MEM 10.234375 1500956868.1509
MEM 10.285156 1500956868.1510
MEM 10.328125 1500956868.1511
MEM 10.371094 1500956868.1512
MEM 10.414062 1500956868.1513
MEM 10.457031 1500956868.1514
MEM 10.496094 1500956868.1515
MEM 10.535156 1500956868.1515
MEM 10.585938 1500956868.1516
MEM 10.625000 1500956868.1517
MEM 10.675781 1500956868.1518
MEM 10.710938 1500956868.1519
MEM 10.718750 1500956868.1520
MEM 10.718750 1500956868.1521
MEM 10.718750 1500956868.1522
MEM 10.718750 1500956868.1523
MEM 10.718750 1500956868.1524
MEM 10.718750 1500956868.1525
MEM 10.468750 1500956868.1526
MEM 10.468750 1500956868.1526
MEM 10.468750 1500956868.1527
MEM 10.468750 1500956868.1528
MEM 10.472656 1500956868.1529
MEM 10.472656 1500956868.1530
MEM 10.472656 1500956868.1531
MEM 10.472656 1500956868.1532
MEM 10.472656 1500956868.1533
MEM 10.472656 1500956868.1534
MEM 10.472656 1500956868.1535
MEM 10.472656 1500956868.1536
MEM 10.472656 1500956868.1536
MEM 10.472656 1500956868.1537
MEM 10.472656 1500956868.1538
MEM 10.484375 1500956868.1539
MEM 10.484375 1500956868.1540
MEM 10.484375 1500956868.1541
MEM 10.484375 1500956868.1542
MEM 10.484375 1500956868.1543
MEM 10.484375 1500956868.1544
MEM 10.484375 1500956868.1545
MEM 10.484375 1500956868.1546
MEM 10.484375 1500956868.1547
MEM 10.484375 1500956868.1548
MEM 10.484375 1500956868.1548
MEM 10.484375 1500956868.1549
MEM 10.484375 1500956868.1551
MEM 10.484375 1500956868.1552
MEM 10.484375 1500956868.1553
MEM 10.484375 1500956868.1553
MEM 10.484375 1500956868.1554
MEM 10.484375 1500956868.1555
MEM 10.484375 1500956868.1556
MEM 10.484375 1500956868.1557
MEM 10.484375 1500956868.1558
MEM 10.484375 1500956868.1559
MEM 10.484375 1500956868.1560
MEM 10.484375 1500956868.1561
MEM 10.484375 1500956868.1562
MEM 10.484375 1500956868.1563
MEM 10.484375 1500956868.1564
MEM 10.488281 1500956868.1565
MEM 10.488281 1500956868.1566
MEM 10.488281 1500956868.1566
MEM 10.488281 1500956868.1567
MEM 10.488281 1500956868.1568
MEM 10.488281 1500956868.1569
MEM 10.488281 1500956868.1570
